Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
USA/2016/FL039,Kx922707,2016-08-17,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KX922707,2016.63,Genbank,2016-08-17
DOM/2016/BB_0269,Ky014318,2016-04-27,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014318,2016.32,Genbank,2016-04-27
DOM/2016/BB_0183,Ky785420,2016-04-18,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785420,2016.30,Genbank,2016-04-18
Yokohama/1/2016,Lc190723,2016-05-20,Japan Korea,Japan,Japan,Ozawa Et Al,Unpublished,Zika Virus Isolate Zikv/hu/yokohama/1/2016,https://www.ncbi.nlm.nih.gov/nuccore/LC190723,2016.38,Genbank,2016-05-20
Dominican_Rep_Rus_5RMN_2016,Mf098766,2016-05-31,North America,Dominican Republic,Dominican Republic,Karan Et Al,Unpublished,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,https://www.ncbi.nlm.nih.gov/nuccore/MF098766,2016.41,Genbank,2016-05-31
DOM/2016/MA_WGS16_031,Ky785434,2016-08-17,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785434,2016.63,Genbank,2016-08-17
DOM/2016/BB_0076,Ky014305,2016-04-05,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY014305,2016.26,Genbank,2016-04-05
Dominican_Rep_Rus_3ALT_2016,Mf098764,2016-05-11,North America,Dominican Republic,Dominican Republic,Karan Et Al,Unpublished,Imported Cases Of Zika Virus Disease In Russia In 2016-2017,https://www.ncbi.nlm.nih.gov/nuccore/MF098764,2016.36,Genbank,2016-05-11
USVI/22/2016,Vi22,2016-09-07,North America,USVI,Saint Thomas,Black Et Al,?,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,https://github.com/blab/zika-usvi/,2016.68,Fh,2016-09-07
DOM/2016/MA_WGS16_040,Ky785413,2016-10-06,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785413,2016.76,Genbank,2016-10-06
DOM/2016/MA_WGS16_036,Ky785447,2016-09-22,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785447,2016.73,Genbank,2016-09-22
DOM/2016/MA_WGS16_011,Ky785484,2016-06-06,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785484,2016.43,Genbank,2016-06-06
DOM/2016/MA_WGS16_024,Ky785435,2016-07-07,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785435,2016.51,Genbank,2016-07-07
DOM/2016/BB_0428,Ky785428,2016-06-13,North America,Dominican Republic,Dominican Republic,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785428,2016.45,Genbank,2016-06-13
JAM/2016/MA_WGS16_038,Ky785438,2016-09-26,North America,Jamaica,Jamaica,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785438,2016.74,Genbank,2016-09-26
Haiti/2016/PD,Kx269878,2016-02-01,North America,Haiti,Haiti,Barzon Et Al,Euro Surveill. 21  32   2016 ,Infection Dynamics In A Traveller With Persistent Shedding Of Zika Virus Rna In Semen For Six Months After Returning From Haiti To Italy January 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX269878,2016.08,Genbank,2016-02-01
USA/2016/FLUR058,Ky325476,2016-10-11,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KY325476,2016.78,Genbank,2016-10-11
USA/2016/FLSR036,Ky325464,2016-09-19,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KY325464,2016.72,Genbank,2016-09-19
Aedes_aegypti/USA/2016/FL05,Ky075937,2016-09-09,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KY075937,2016.69,Genbank,2016-09-09
USA/2016/FLUR014,Ky325482,2016-08-24,North America,USA,USA,Ladner Et Al,Unpublished,Zika Virus Genomes From Human Cases In Florida Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY325482,2016.65,Genbank,2016-08-24
USA/2016/FL032,Kx922705,2016-08-05,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KX922705,2016.59,Genbank,2016-08-05
Aedes_aegypti/USA/2016/FL04,Kx922708,2016-09-04,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KX922708,2016.68,Genbank,2016-09-04
USA/2016/MA_WGS16_034,Ky785459,2016-08-15,North America,USA,USA,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785459,2016.62,Genbank,2016-08-15
Aedes_aegypti/USA/2016/FL03,Kx838906,2016-08-23,North America,USA,USA,Grubaugh Et Al,Nature  2017  In Press,Genomic Epidemiology Reveals Multiple Introductions Of Zika Virus Into The United States,https://www.ncbi.nlm.nih.gov/nuccore/KX838906,2016.64,Genbank,2016-08-23
USA/2016/FL035,Ky785440,2016-08-03,North America,USA,USA,Metsky Et Al,Nature 546  7658  411-415  2017 ,Zika Virus Evolution And Spread In The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY785440,2016.59,Genbank,2016-08-03
